En->X spBLEU,Size,en->cs,en->de,en->es,en->fr,en->ru,en->sr,en->bn,en->zh,en->ja,en->ko,en->ar,en->th,en->hu,en->vi,en->sw,en->te,AVG
En->X xComet,Size,en->cs,en->de,en->es,en->fr,en->ru,en->sr,en->bn,en->zh,en->ja,en->ko,en->ar,en->th,en->hu,en->vi,en->sw,en->te,AVG
InternLM2.5,7B,46.11325063,72.82553506,69.34119974,63.47342733,62.72290194,31.37492641,16.3157066,69.41972462,55.07324768,46.3134856,31.78011633,23.69568071,28.20935614,37.83486784,22.6075274,15.06942301,43.3
Qwen2.5,7B,53.96863003,76.30671898,71.99128657,67.49967576,65.08334716,43.73616624,35.60838931,71.56421597,62.92926716,62.40313184,51.59509493,58.37067432,41.48772474,68.07877141,21.04412789,19.29663182,54.4
Llama3.1,8B,65.55446132,78.96824516,74.18536655,70.57193856,69.02439333,59.13359305,52.3989893,70.42947324,66.44857794,67.5762743,56.22163154,59.9193241,65.48086757,70.09872604,37.25425567,46.26200838,63.1
Aya-Expanse,8B,69.77885985,79.48840193,74.41514677,71.31949135,70.8865676,40.43724018,26.07993671,71.27204785,71.68723109,73.20954098,67.19680008,32.1785835,28.64868107,71.5910765,20.72259501,24.45830441,55.8
Gemma2,9B,66.63247837,77.82916586,72.84162772,70.23928222,69.22250093,61.98783336,54.79195819,71.0528283,68.89046855,70.59898477,61.71337513,64.46496841,67.32200867,70.63583907,49.44408796,49.9618406,65.5
InternLM2.5,20B,47.19359764,70.40641289,66.66578555,59.0127358,58.3130113,35.89438628,17.56204511,67.0495197,56.09620032,56.71284412,40.06523466,31.01452083,30.03872225,47.06489429,22.32119121,14.35361114,45.0
Gemma2,27B,70.98881241,79.84548946,74.13661895,71.91156563,72.22585802,70.20039525,61.27512451,72.88559728,71.63987538,73.3945849,66.59349683,67.76591606,71.83706671,72.1143834,53.82276831,56.63184369,69.2
Aya-Expanse,32B,72.90552689,81.46920599,75.20698705,73.02818474,73.78624273,52.7365479,46.26902315,74.3607642,74.79359202,75.86944007,69.53174725,46.23427783,54.21782793,74.41620294,24.86428947,29.81701571,62.5
Llama3.1,70B,71.02622149,80.65497442,74.45796033,72.34213322,71.5428601,68.54875912,62.34187108,72.07010143,71.48320613,72.61251665,66.1567181,67.61321156,73.58752419,72.09164289,53.05440212,60.63948496,69.4
Qwen2.5,72B,68.50362304,79.39931294,74.44909638,72.59359737,72.46481086,61.47986811,58.35184634,73.94369643,70.76927461,73.70045079,68.10010736,69.75097782,63.91569787,72.3837008,30.53751005,34.55228027,65.3
DeepSeek-V3,671B,74.6243933,82.22463822,77.064584,75.55459869,75.60820097,74.22865941,67.83497384,75.70909648,75.34292466,77.81481678,72.58772848,74.12335418,75.57898185,75.80750796,57.42195327,64.6657783,73.5
gpt-4o-mini-2024-07-18,,72.41195704,81.33011129,76.3957509,73.79831958,73.06364345,68.43121463,60.58684868,73.6875404,72.55063186,74.86766284,69.82748169,69.28281642,72.56897018,73.22609727,54.48072559,47.57664719,69.6
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
X->En xComet,Size,cs->en,de->en,es->en,fr->en,ru->en,sr->en,bn->en,zh->en,ja->en,ko->en,ar->en,th->en,hu->en,vi->en,sw->en,te->en,AVG
InternLM2.5,7B,74.87572498,80.85588991,78.37707185,78.03629677,77.18686305,64.16263877,54.77578505,79.59795386,74.45884638,72.47955199,65.7196326,62.6450364,68.18893047,72.00276667,40.00158948,41.26571446,67.8
Qwen2.5,7B,76.68011072,79.48265636,78.37988398,77.22426182,76.8621185,74.10651702,71.29236374,79.01429673,75.67428568,77.70598892,75.01592511,77.64375804,73.13659455,78.10186374,49.07589831,56.88440757,73.5
Llama3.1,8B,78.06782568,81.25808571,79.67342704,78.81910453,78.41230673,74.30498342,73.30439479,80.23527889,77.16779391,77.43141437,75.02520828,77.65483824,77.0489078,79.49466463,66.15742085,70.789739,76.6
Aya-Expanse,8B,77.92408818,80.94918998,79.35411137,77.67847273,77.4452873,68.55794289,63.46265485,80.31841106,77.68105999,79.01832117,76.94009795,66.89285954,70.61488912,79.63878748,48.82913809,47.05966791,72.0
Gemma2,9B,77.51507778,80.26397541,78.51025913,77.58049006,77.3962663,77.21099591,74.50692971,78.58590332,76.76823875,78.15991046,76.62843798,78.72053584,77.35994527,79.37753755,73.17184588,73.65823757,77.2
InternLM2.5,20B,75.31174746,79.0550435,76.24215984,76.41310956,76.386632,64.39962907,50.71405996,78.2255878,75.79264328,75.2244855,67.95259221,64.00465542,72.19440828,75.40569095,48.81378431,39.66075694,68.5
Gemma2,27B,78.09089569,80.75365672,79.50158695,78.49453936,77.68942864,77.93334186,76.98282212,80.30630185,78.00647781,78.98383492,77.20367676,79.1658679,78.47560153,79.54858144,74.21371502,75.92286261,78.2
Aya-Expanse,32B,78.27350974,81.30286884,78.94887362,78.50542945,78.26306971,75.85771438,75.34006638,80.95933766,78.37481021,79.75510997,77.61204536,76.39689451,77.17848928,79.60086454,64.0905653,63.51364806,76.5
Llama3.1,70B,79.66906202,81.64276904,80.14809381,79.67609425,79.13451627,78.42334261,78.49513311,80.61347336,78.06424473,79.61040779,78.13178448,80.21078545,79.81165101,80.57957778,74.28413185,77.1690421,79.1
Qwen2.5,72B,79.35872357,81.29532989,79.33774846,78.78867836,78.7715977,77.81271978,78.48690113,80.93743904,79.27231414,80.26272947,77.77806342,80.62644294,79.15289318,80.68336595,68.27301674,73.10562794,78.4
DeepSeek-V3,671B,80.21146582,82.27915868,80.55019117,79.96430725,79.61398112,79.53471485,79.15813572,81.27556699,79.76176786,81.10471725,79.16422678,81.40601919,80.60821804,81.3352092,75.94786146,78.49825701,80.0
gpt-4o-mini-2024-07-18,,79.92673705,82.30111843,80.4236461,79.91733697,79.61919361,78.7172341,77.81081331,81.5276424,80.05799832,81.22442984,78.23455429,80.48476114,79.39672314,81.09752871,73.91542279,76.46918137,79.4
