ifeval_ter,Size,en->cs,en->de,en->es,en->fr,en->ru,en->sr,en->bn,en->zh,en->ja,en->ko,en->ar,en->th,en->hu,en->vi,en->sw,en->te,cs->en,de->en,es->en,fr->en,ru->en,sr->en,bn->en,zh->en,ja->en,ko->en,ar->en,th->en,hu->en,vi->en,sw->en,te->en
Qwen2.5,7B,15.53955276,13.04282545,8.614313683,9.343909877,9.796137339,33.79592276,35.06207736,11.40990162,21.20921602,22.5603986,29.47531979,17.17200955,25.64937878,14.05475352,56.14338425,53.13772389,13.41227892,9.20918886,5.956495223,6.840821305,10.58650132,12.50254117,15.3943891,12.4618825,16.92925391,16.17706851,10.08335027,15.06911974,15.50111811,11.69953243,23.33299451,18.84021143
Llama3.1,8B,14.16427527,11.71652125,6.239855424,11.08870632,13.52467811,31.37001775,23.56613832,11.99669656,25.04097727,18.018192,19.9898822,12.78674289,21.70891889,11.36073088,34.29885385,26.90025379,13.81378329,9.864809921,7.216914007,8.274039439,11.0489937,13.17849156,15.76539947,14.28644033,18.92152877,18.01687335,11.11506404,16.48200854,16.21264485,13.29030291,16.72596056,19.39926814
Aya-Expanse,8B,18.04104175,16.55127542,11.64137146,15.02324729,17.06545064,42.36458501,54.98944506,23.14580043,23.47301685,23.00650818,25.03071475,22.49077357,32.81810463,18.33432073,42.05272633,40.13949497,16.64972555,12.54828217,9.000813173,10.30697296,14.62187436,19.25188046,26.30107745,18.47936572,21.77271803,19.65338483,12.8989632,26.47895914,22.84000813,16.4464322,30.85484855,33.84326083
Gemma2,9B,15.83734907,14.3591198,5.898495674,10.9037279,14.56545064,23.8018396,24.78442878,12.59653139,20.80562858,16.49446708,18.48305268,14.02416962,22.90977144,11.74893206,20.22423843,23.25220471,21.48302501,17.53913397,10.77963001,14.9573084,22.49440943,20.93921529,25.75726774,26.86013417,32.47611303,29.35556007,22.68245578,26.24008945,24.45110795,24.82211832,21.18824964,20.72067493
InternLM2.5,20B,18.38756836,18.27296842,7.198674721,17.18299532,14.80686695,25.24877629,76.70399657,9.123574668,23.36632132,18.44692069,31.55669582,24.71235256,48.28362994,17.55791837,83.57070284,68.94045902,14.24578166,10.23582029,6.617198618,7.765806058,11.58772108,14.17462899,23.66334621,12.62451718,18.37771905,16.7767839,12.42122383,18.08294369,15.58243545,13.39194958,25.51839805,29.28948973
Gemma2,27B,8.912231307,9.10395222,4.156556952,6.099288416,6.995708155,11.72072508,18.725178,8.693258378,15.9950518,11.39607192,11.48008961,8.104783269,16.85352371,6.206541736,14.19226039,20.3710128,12.56861151,8.487497459,5.295791828,6.190282578,10.32221996,12.15186013,13.57999593,11.38951006,15.90770482,14.63203903,9.066883513,14.75401504,13.61048994,10.95242936,14.35759301,13.53933726
Aya-Expanse,32B,13.98559749,14.12388849,10.31107244,13.42843335,9.774678112,31.45070195,34.32680955,13.36588476,17.98051647,16.07732566,15.59405941,12.45386786,24.82801643,15.14452309,37.92445767,33.30898866,13.11750356,9.127871519,5.951412889,6.673104289,10.76946534,13.03110388,16.55316121,12.45680016,17.12746493,17.11730026,10.0121976,16.65989022,15.08944908,12.5533645,20.4004879,22.8806668
Llama3.1,70B,10.31458119,8.723578185,4.47281672,7.329144933,7.033261803,13.34516702,19.82539626,10.1406859,15.91155095,13.00090767,13.72407314,9.103408351,17.45654924,7.857566025,16.3205647,21.19812303,13.20898557,8.899166497,5.671884529,6.617198618,10.41370197,12.42630616,14.19495832,12.12136613,16.80219557,15.86704615,9.493799553,15.00813173,13.82394796,11.62329742,14.48973369,14.63203903
Qwen2.5,72B,9.626942444,9.033883319,3.323237563,6.414251671,6.534334764,12.93098811,21.18322659,7.137165128,15.85124478,10.61393175,11.33916311,8.582386569,17.31618985,7.062455178,26.97812873,26.64828644,12.48221183,8.721284814,5.24496849,6.002236227,10.04777394,12.12136613,13.76295995,11.36918073,16.00935149,14.12888799,9.239682862,14.281358,13.49359626,10.48485465,15.69932913,13.51900793
DeepSeek-V3,671B,7.964697601,7.54241671,2.876457891,5.954305331,6.153433476,9.509977946,15.89144513,6.963299961,11.92670481,8.707827195,8.173737082,7.858745206,14.17629832,6.145739141,12.47571345,16.8708576,12.48729417,8.426509453,5.773531206,6.164870909,10.01727993,11.91299045,13.33096158,11.24720472,15.55194145,14.32201667,9.168530189,13.74771295,12.98536288,10.83045334,13.72738361,12.75157552
